,,          Red & Green Flag example bank,,,,,
Keeps work in check to make time for what really matters.,"Puts work above everything else, leaving little room for the relationship.",Work-life balance is essential for emotional and physical well-being. Overwork creates distance.,"They work late every night and cancel plans with you, saying, ""I’m just too busy.""","Overworking diminishes intimacy and connection, creating emotional distance.",,"1. Share, 'I miss spending time with you. Can we set boundaries around work hours?'
2. Create regular times for personal connection.",Lifestyle and Interests
Appreciates and supports your love for culture and creativity.,Mocks or disregards the cultural interests and traditions you hold dear.,Cultural appreciation enriches the relationship. Dismissiveness creates conflict and alienation.,"When you share a family tradition, they laugh and call it ""outdated.""",Dismissing cultural interests weakens mutual respect and connection.,,"1. Say, 'Your support for my cultural interests means a lot.'
2. Plan activities to explore each other's cultures.",Lifestyle and Interests
Encourages mindfulness and respects your spiritual side.,Belittles or brushes off your spiritual or mindfulness practices.,Spiritual practices can provide grounding and peace. Belittling them creates tension and disconnection.,"You talk about a mindfulness practice, and they say, ""That’s just a waste of time.""",Mocking spiritual practices erodes trust and emotional safety.,,"1. Share, 'My spiritual practices help me stay grounded. I’d appreciate your support.'
2. Invite them to join or respect your practices.",Lifestyle and Interests
"Finds favorite shows, movies, or music you both can vibe to.",Insists on only their entertainment preferences without compromise.,Entertainment choices are a way to connect and unwind together. Insistence on one-sided choices limits shared enjoyment.,"Movie night always revolves around their favorite genre, regardless of your preferences.",One-sided entertainment choices limit shared enjoyment and bonding.,,"1. Say, 'I’d love if we could explore entertainment choices we both enjoy.'
2. Take turns choosing movies or activities.",Lifestyle and Interests
Shares financial goals that just make sense together.,Creates tension by having clashing financial goals or habits.,Financial compatibility fosters stability and reduces stress. Mismatched habits lead to ongoing conflict.,"They save excessively while you want to invest, or they spend recklessly while you try to budget.",Financial tension disrupts stability and long-term harmony.,,"1. Share, 'I think we need to align our financial goals.'
2. Set a budget together and stick to agreed priorities.",Lifestyle and Interests
"Always eager to grow, learn, and level up personally.",Shows no interest in growing or learning new things.,Personal development fosters growth and adaptability. Neglecting it leads to stagnation.,"They show no interest in trying a new skill, saying, ""I’m too old to learn anything new.""",Neglecting self-growth stifles personal and relational progress.,,"1. Encourage setting personal goals and pursuing hobbies.
2. Share resources like books or courses for mutual growth.",Self-Growth and Stability
Handles emotions with care and in a healthy way.,Reacts to situations with unnecessary anger or outbursts.,Healthy emotional regulation promotes stability. Outbursts create volatility and fear.,They snap and yell when dinner is late instead of calmly asking what’s wrong.,Emotional outbursts create instability and fear in relationships.,,"1. Suggest, 'Let’s take a break and revisit this when we’re calmer.'
2. Practice mindfulness or anger management techniques together.",Self-Growth and Stability
"Owns up to their choices and decisions, no excuses.",Shifts blame or refuses to own up to their mistakes.,Accountability builds trust and maturity. Avoiding it fosters resentment and disconnect.,"They blame you for forgetting a family event, even though they never put it on their calendar.",Avoiding accountability erodes trust and respect.,,"1. Say, 'I appreciate when you own up to mistakes; it builds trust.'
2. Discuss ways to approach accountability as a team.",Self-Growth and Stability
Reflects on actions and genuinely works to improve.,Lacks awareness of how their actions affect others.,Self-awareness enhances relationships by improving communication and empathy.,"They talk loudly on the phone at night, ignoring how it keeps you awake.",Lack of self-awareness limits the ability to grow and connect.,,"1. Share, 'I’d like us to reflect on our actions and how they affect each other.'
2. Practice journaling or self-reflection exercises.",Self-Growth and Stability
Sees challenges as chances to grow and find creative solutions.,Avoids challenges or refuses to try new ways of doing things.,A growth mindset creates resilience. Avoiding challenges hinders progress.,"They refuse to try a new approach to co-parenting, saying, ""This is how I’ve always done it.""",Avoiding challenges prevents the relationship from evolving.,,"1. Encourage viewing challenges as opportunities to grow together.
2. Set small, achievable goals to build confidence.",Self-Growth and Stability
"Tackles conflicts with a calm, constructive approach.",Uses arguments to take control or withdraws completely instead of resolving issues.,Conflict management fosters resolution and trust. Escalation or avoidance worsens problems.,"During an argument, they dominate the conversation or stop talking altogether to avoid resolution.",Poor conflict management fosters resentment and emotional distance.,,"1. Share, 'I want us to resolve conflicts without yelling or withdrawing.'
2. Learn conflict resolution strategies together.",Self-Growth and Stability
"Rolls with life’s changes with a positive, resilient attitude.","Struggles to adapt to life’s changes, making things feel unstable.",Adaptability ensures smooth transitions in relationships and life. Resistance creates tension.,"When you suggest a move or career change, they resist and say, ""I can’t handle this right now.""",Inability to adapt creates unnecessary strain and tension.,,"1. Say, 'Change is hard, but we can navigate it as a team.'
2. Plan steps to adapt and support each other.",Self-Growth and Stability
Strikes a healthy balance between work and play.,"Over-focuses on work or personal time, neglecting balance in the relationship.",Work-life balance maintains emotional and physical well-being. Imbalance strains relationships.,"They spend every weekend with friends or on hobbies, leaving no time for the relationship.",Imbalance between work and life reduces intimacy and connection.,,"1. Share, 'I miss spending quality time with you.'
2. Set boundaries for work hours and personal time.",Self-Growth and Stability
"Knows how to handle stress like a pro, keeping things cool and steady.","Avoids dealing with stress, leading to unhealthy coping habits.",Stress management supports a calm and stable environment. Poor coping affects all areas of life.,"They ignore stress until it leads to angry outbursts or destructive behavior, like drinking excessively.",Poor stress management leads to a toxic environment.,,"1. Discuss, 'How can we manage stress better as a team?'
2. Explore stress-relief practices like exercise or therapy.",Self-Growth and Stability
Shows up consistently with actions that match their words over time.,"Acts unpredictably, leaving you feeling confused and unsure.",Consistency creates reliability and trust. Erratic behavior disrupts emotional safety.,They are affectionate one day and completely distant the next without explanation.,Inconsistency creates doubt and insecurity in the relationship.,,"1. Share, 'Consistency helps me feel secure. Can we work on that?'
2. Identify and address areas of inconsistent behavior.",Self-Growth and Stability
Shares love through physical touch in ways that feel safe and meaningful.,"Withholds physical affection, making the relationship feel distant.",Physical affection fosters intimacy and connection. Avoiding it creates emotional distance.,"They stop hugging or holding hands but don’t say why, leaving you feeling rejected.",Lack of physical affection reduces intimacy and weakens the bond.,,"1. Share, 'Physical affection helps me feel connected. Can we work on that?'
2. Explore ways to express touch comfortably for both partners.",Love and Affection
Spreads emotional warmth through kind words and thoughtful actions.,Rarely shows emotional warmth or small acts of kindness.,Emotional affection nurtures a sense of love and safety. Neglecting it makes the relationship feel cold.,They rarely say kind words or do small thoughtful gestures like bringing you coffee.,Neglecting emotional affection creates a sense of being unloved and unsupported.,,"1. Suggest, 'Let’s check in on each other more emotionally.'
2. Practice sharing feelings regularly.",Love and Affection
Regularly uses sweet affirmations to uplift and reassure their partner.,"Skips out on compliments or avoids saying sweet, affirming things.",Words of affirmation build confidence and trust. Criticism or silence erodes self-esteem.,"They avoid complimenting you on your efforts, even when you go out of your way for them.",Criticism or lack of affirmation damages confidence and emotional security.,,"1. Share, 'Your encouragement means a lot to me.'
2. Encourage open affirmations and recognition of achievements.",Love and Affection
"Shows love in the little things, like thoughtful acts of service.",Misses chances to lend a hand or support their partner when it matters.,Acts of service demonstrate care through action. Neglecting this leads to feelings of neglect.,"You’re struggling with a big task, and they sit back instead of offering to help.",Neglecting acts of service makes the relationship feel one-sided.,,"1. Say, 'I’d love if we could help each other out more.'
2. Create a list of ways to share responsibilities.",Love and Affection
"Prioritizes undistracted, quality time that feels truly meaningful.",Consistently prioritizes other things over spending quality time together.,Quality time strengthens bonds and creates memories. Lack of it fosters disconnection.,They frequently prioritize work or social events over planned date nights.,Lack of quality time weakens emotional connection and shared experiences.,,"1. Share, 'I miss spending time with you.'
2. Schedule regular, dedicated time together.",Love and Affection
Learns and honors their partner’s unique love language like a pro.,Ignores or brushes off their partner’s love language.,Understanding love languages enhances connection. Ignoring them causes unmet needs.,"You express love through words, but they don’t respond or acknowledge it.",Ignoring love languages leaves partners feeling unfulfilled and disconnected.,,"1. Discuss love languages and share ways to meet each other’s needs.
2. Experiment with acts that align with both preferences.",Love and Affection
Surprises their partner with romantic gestures that show how much they care.,Makes no effort to create romantic or memorable moments.,Romantic gestures keep the relationship exciting and meaningful. Their absence creates stagnation.,"They never plan special surprises or dates, leaving the relationship feeling stale.",Absence of romantic gestures makes the relationship feel stagnant and unappreciated.,,"1. Share, 'I love when you surprise me—it makes me feel special.'
2. Take turns planning small romantic gestures.",Love and Affection
Offers empathy and steady support when times get tough.,Lacks empathy or dismisses their partner’s challenges and feelings.,Empathy provides comfort during tough times. Its absence creates emotional isolation.,"You share a personal struggle, and they respond with, ""That’s not a big deal.""",Lack of empathy creates emotional distance and disconnection.,,"1. Say, 'It helps me when you listen and empathize.'
2. Practice active listening and offering support during challenges.",Love and Affection
Expresses gratitude and appreciation for their partner in big and small ways.,Takes their partner for granted and forgets to show appreciation.,Appreciation reinforces value in the relationship. Lack of it leads to resentment.,They never thank you for your support or acknowledge the effort you put into the relationship.,Feeling unappreciated fosters resentment and weakens the relationship.,,"1. Share, 'I’d love to hear more appreciation—it makes me feel valued.'
2. Express gratitude for small and big gestures.",Love and Affection
"Listens with an open heart, offering emotional support without judgment.",Leaves their partner unsupported during tough times emotionally.,Emotional support builds trust and connection. Neglecting it creates insecurity.,"You’re going through a loss, and they emotionally check out instead of being there for you.",Absence of emotional support leads to insecurity and lack of trust.,,"1. Say, 'Your support matters to me, especially during tough times.'
2. Practice being present and available for each other emotionally.",Love and Affection
"Shares their feelings honestly, creating closeness and connection.",Avoids opening up about emotions or sharing their inner world.,Emotional openness strengthens the bond between partners. Avoidance creates distance and misunderstanding.,"They avoid sharing feelings, responding with ""It’s nothing"" when something is clearly bothering them.",Avoiding emotional openness creates disconnection and lack of understanding.,,"1. Share, 'I’d like us to talk openly about how we feel.'
2. Practice setting aside time for emotional check-ins.",Intimacy and Vulnerability
Approaches physical intimacy with mutual respect and care.,Pulls back from physical intimacy without any explanation.,Physical intimacy nurtures connection and trust. Dismissing it signals lack of investment or unresolved issues.,"They stop initiating physical intimacy without giving a reason, making you feel unwanted.",Withdrawing from physical intimacy weakens trust and connection.,,"1. Say, 'Physical closeness helps me feel connected.'
2. Explore ways to nurture physical intimacy together.",Intimacy and Vulnerability
"Makes space for fears and insecurities, offering validation and kindness.",Mocks or downplays their partner’s fears and insecurities.,Encouraging openness about insecurities builds trust. Mocking or dismissing them fosters shame.,"You share a fear, and they laugh it off or call it silly.",Invalidating insecurities fosters shame and emotional distance.,,"1. Share, 'I want us to feel safe sharing our insecurities.'
2. Reassure them that their vulnerabilities are valued and respected.",Intimacy and Vulnerability
Creates a safe haven for tough emotions to be expressed freely.,Shuts down or reacts poorly when emotions come into play.,Providing a safe space for emotions deepens trust. Reacting poorly causes fear and withdrawal.,"When you’re upset, they shut down or respond with anger instead of understanding.",Poor reactions to emotions cause fear and erode trust.,,"1. Say, 'I need to feel safe expressing my emotions.'
2. Practice active listening and emotional validation.",Intimacy and Vulnerability
"Nurtures a healthy, loving connection in the bedroom with care and respect.",Neglects physical closeness or avoids understanding mutual needs.,Healthy sexual intimacy is a key part of connection. Ignoring it leads to dissatisfaction and disconnect.,They avoid meaningful physical closeness and seem uninterested in mutual connection.,Neglecting sexual connection creates dissatisfaction and emotional separation.,,"1. Share, 'Let’s work on understanding each other’s intimacy needs.'
2. Communicate openly about preferences and boundaries.",Intimacy and Vulnerability
Communicates personal needs clearly and with kindness.,Ignores their partner’s personal needs or brushes them aside.,Clear communication about needs fosters understanding. Dismissiveness leaves needs unmet and creates frustration.,"You tell them you need more emotional support, and they dismiss your concerns as dramatic.",Ignoring expressed needs leads to frustration and unmet expectations.,,"1. Say, 'Your needs matter to me; I hope mine matter too.'
2. Work on a list of shared needs and how to meet them.",Intimacy and Vulnerability
Meets vulnerability with warmth and understanding instead of judgment.,Criticizes or shames vulnerability instead of embracing it.,Non-judgment in vulnerable moments reinforces emotional safety. Criticism erodes trust.,"When you open up, they say, ""Why are you so sensitive?"" instead of being supportive.",Judging vulnerability damages emotional safety and trust.,,"1. Share, 'I need to feel understood when I’m vulnerable.'
2. Commit to responding with compassion during tough moments.",Intimacy and Vulnerability
Acknowledges past wounds and works together to grow and heal.,Refuses to address past traumas or uses them as excuses to hurt others.,Addressing past wounds helps the relationship grow. Refusal to heal stunts progress and intimacy.,They refuse to work through past trauma and use it as an excuse to avoid accountability.,Avoiding healing limits the depth of connection and creates lingering issues.,,"1. Say, 'Let’s work together to heal past pain and move forward.'
2. Explore therapy or open discussions about past issues.",Intimacy and Vulnerability
Stands by their partner during moments of vulnerability with unwavering care.,Pulls away emotionally or minimizes their partner’s struggles when times are hard.,Supporting vulnerability fosters connection and reassurance. Pulling away creates isolation.,"You’re struggling emotionally, and they pull away or act like it’s not their problem.",Lack of support during vulnerability fosters isolation and resentment.,,"1. Share, 'I need to feel supported when I’m struggling.'
2. Practice showing up for each other during difficult times.",Intimacy and Vulnerability
Builds a deep connection through trust and shared experiences.,Avoids building deeper connections or creating meaningful moments together.,Deep connections are built through shared experiences and trust. Resistance leads to emotional shallowness.,"They avoid meaningful conversations or gestures, leaving the relationship feeling shallow.",Avoiding deeper connection prevents the relationship from reaching its full potential.,,"1. Say, 'I want to deepen our connection.'
2. Plan meaningful activities and conversations to foster intimacy.",Intimacy and Vulnerability
